Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
236670,21,2,11.99,08/31/19 22:21,"359 Spruce St, Seattle, WA 98101"
236671,9,1,99.99,08/15/19 15:11,"492 Ridge St, Dallas, TX 75001"
236672,12,1,700.0,08/06/19 14:40,"149 7th St, Portland, OR 97035"
236673,7,2,3.84,08/29/19 20:59,"631 2nd St, Los Angeles, CA 90001"
236674,7,2,3.84,08/15/19 19:53,"736 14th St, New York City, NY 10001"
236675,21,1,11.99,08/02/19 23:54,"470 Hill St, San Francisco, CA 94016"
236676,5,1,379.99,08/04/19 19:52,"470 Cherry St, Los Angeles, CA 90001"
236677,2,1,109.99,08/13/19 07:16,"918 6th St, San Francisco, CA 94016"
236678,21,1,11.99,08/25/19 20:11,"58 9th St, San Francisco, CA 94016"
236679,16,1,1700.0,08/07/19 15:43,"239 Spruce St, Los Angeles, CA 90001"
236680,14,1,600.0,08/09/19 19:38,"967 Willow St, San Francisco, CA 94016"
236681,7,1,3.84,08/26/19 20:52,"295 1st St, Boston, MA 02215"
236682,7,1,3.84,08/19/19 12:40,"118 Johnson St, Portland, OR 97035"
236683,4,1,149.99,08/31/19 15:47,"196 West St, Dallas, TX 75001"
236684,15,1,14.95,08/09/19 16:50,"669 12th St, New York City, NY 10001"
236685,8,1,150.0,08/23/19 19:29,"238 Highland St, Atlanta, GA 30301"
236686,6,1,2.99,08/15/19 19:13,"766 Maple St, Dallas, TX 75001"
236687,19,1,11.95,08/23/19 12:54,"668 Meadow St, New York City, NY 10001"
236688,5,1,379.99,08/08/19 16:06,"821 7th St, Los Angeles, CA 90001"
236689,6,1,2.99,08/21/19 10:55,"13 Cedar St, San Francisco, CA 94016"
236690,6,1,2.99,08/08/19 12:00,"139 River St, San Francisco, CA 94016"
236691,19,1,11.95,08/23/19 07:34,"916 Meadow St, Boston, MA 02215"
236692,19,1,11.95,08/20/19 13:26,"567 Center St, San Francisco, CA 94016"
236693,3,1,389.99,08/12/19 21:57,"173 West St, Portland, OR 97035"
236694,8,1,150.0,08/14/19 23:45,"854 Sunset St, New York City, NY 10001"
236695,9,1,99.99,08/04/19 19:06,"905 Pine St, San Francisco, CA 94016"
236696,15,1,14.95,08/21/19 00:48,"530 Church St, New York City, NY 10001"
236697,7,1,3.84,08/25/19 23:13,"246 Willow St, San Francisco, CA 94016"
236698,21,1,11.99,08/07/19 13:40,"526 Chestnut St, Dallas, TX 75001"
236699,7,2,3.84,08/20/19 21:07,"763 Hill St, Atlanta, GA 30301"
236700,21,1,11.99,08/09/19 08:55,"534 North St, Los Angeles, CA 90001"
236701,8,1,150.0,08/06/19 10:36,"518 Main St, San Francisco, CA 94016"
236702,18,1,999.99,08/23/19 11:10,"615 11th St, Dallas, TX 75001"
236703,9,1,99.99,08/08/19 06:09,"861 Adams St, Atlanta, GA 30301"
236704,10,1,300.0,08/11/19 08:52,"415 Ridge St, San Francisco, CA 94016"
236705,7,3,3.84,08/11/19 22:21,"27 North St, Austin, TX 73301"
236706,11,1,600.0,08/14/19 14:19,"621 North St, San Francisco, CA 94016"
236707,7,2,3.84,08/14/19 14:06,"306 West St, Los Angeles, CA 90001"
236708,8,1,150.0,08/27/19 14:00,"353 Madison St, San Francisco, CA 94016"
236709,12,1,700.0,08/04/19 09:00,"869 Jackson St, San Francisco, CA 94016"
236710,16,1,1700.0,08/04/19 02:46,"654 Chestnut St, Austin, TX 73301"
236711,16,1,1700.0,08/28/19 17:28,"627 Lincoln St, Dallas, TX 75001"
236712,7,2,3.84,08/30/19 07:14,"548 Jefferson St, Boston, MA 02215"
236713,4,1,149.99,08/05/19 20:00,"852 8th St, San Francisco, CA 94016"
236714,3,1,389.99,08/30/19 09:07,"194 Dogwood St, Atlanta, GA 30301"
236715,3,1,389.99,08/23/19 11:20,"628 Jefferson St, Portland, OR 97035"
236716,7,2,3.84,08/17/19 20:12,"84 Cedar St, San Francisco, CA 94016"
236716,19,1,11.95,08/17/19 20:12,"84 Cedar St, San Francisco, CA 94016"
236717,11,1,600.0,08/11/19 12:26,"394 12th St, Atlanta, GA 30301"
236718,8,1,150.0,08/10/19 13:48,"499 7th St, San Francisco, CA 94016"
236719,6,1,2.99,08/05/19 12:09,"948 2nd St, Atlanta, GA 30301"
236720,8,1,150.0,08/24/19 16:49,"881 10th St, Dallas, TX 75001"
236721,8,1,150.0,08/02/19 12:24,"198 Highland St, Seattle, WA 98101"
236722,6,2,2.99,08/07/19 12:42,"241 6th St, San Francisco, CA 94016"
236723,8,1,150.0,08/01/19 18:56,"654 Pine St, New York City, NY 10001"
236724,8,1,150.0,08/21/19 01:08,"238 Hickory St, San Francisco, CA 94016"
236725,6,3,2.99,08/24/19 20:15,"590 Lakeview St, San Francisco, CA 94016"
236726,7,1,3.84,08/29/19 09:25,"434 Church St, Boston, MA 02215"
236727,19,1,11.95,08/19/19 08:10,"557 North St, New York City, NY 10001"
236728,18,1,999.99,08/10/19 11:21,"526 North St, Portland, ME 04101"
236729,12,1,700.0,08/09/19 09:28,"635 Lake St, San Francisco, CA 94016"
236729,8,1,150.0,08/09/19 09:28,"635 Lake St, San Francisco, CA 94016"
236730,11,1,600.0,08/02/19 10:17,"445 Lincoln St, New York City, NY 10001"
236730,21,1,11.99,08/02/19 10:17,"445 Lincoln St, New York City, NY 10001"
236731,6,1,2.99,08/29/19 12:40,"62 Center St, San Francisco, CA 94016"
236732,10,1,300.0,08/09/19 13:35,"328 North St, Dallas, TX 75001"
236733,8,1,150.0,08/08/19 10:21,"467 Hill St, Dallas, TX 75001"
236734,7,2,3.84,08/14/19 16:52,"405 Chestnut St, Dallas, TX 75001"
236735,8,1,150.0,08/18/19 22:08,"599 North St, Boston, MA 02215"
236736,21,1,11.99,08/03/19 17:36,"754 Chestnut St, Los Angeles, CA 90001"
236737,7,1,3.84,08/24/19 08:51,"908 Park St, San Francisco, CA 94016"
236738,10,1,300.0,08/30/19 15:07,"672 7th St, New York City, NY 10001"
236739,19,1,11.95,08/31/19 12:46,"949 Church St, Boston, MA 02215"
236740,19,1,11.95,08/12/19 07:30,"950 13th St, San Francisco, CA 94016"
236741,19,1,11.95,08/08/19 12:39,"26 Washington St, Boston, MA 02215"
236742,16,1,1700.0,08/11/19 01:47,"701 1st St, San Francisco, CA 94016"
236743,15,1,14.95,08/27/19 12:55,"826 Forest St, Los Angeles, CA 90001"
236744,24,1,2.99,08/09/19 20:21,"11 Wilson St, Atlanta, GA 30301"
236745,6,1,2.99,08/17/19 21:01,"850 Ridge St, San Francisco, CA 94016"
236746,6,2,2.99,08/13/19 09:52,"585 Spruce St, Los Angeles, CA 90001"
236747,6,1,2.99,08/02/19 15:19,"255 Cherry St, New York City, NY 10001"
236748,9,1,99.99,08/19/19 16:40,"977 13th St, New York City, NY 10001"
236749,6,1,2.99,08/30/19 20:13,"498 Johnson St, Austin, TX 73301"
236750,10,1,300.0,08/25/19 08:37,"806 Ridge St, Boston, MA 02215"
236751,3,1,389.99,08/03/19 09:18,"534 Washington St, Portland, ME 04101"
236752,3,1,389.99,08/27/19 21:41,"765 Lakeview St, Austin, TX 73301"
236753,15,1,14.95,08/18/19 19:28,"501 Lakeview St, New York City, NY 10001"
236754,15,1,14.95,08/13/19 10:29,"872 Ridge St, Seattle, WA 98101"
236755,21,1,11.99,08/19/19 13:59,"902 2nd St, Dallas, TX 75001"
236756,7,1,3.84,08/31/19 18:36,"444 West St, Boston, MA 02215"
236757,19,1,11.95,08/07/19 19:28,"969 Spruce St, Seattle, WA 98101"
236758,10,1,300.0,08/18/19 13:55,"155 Hickory St, Los Angeles, CA 90001"
236759,9,1,99.99,08/27/19 12:09,"848 5th St, New York City, NY 10001"
236760,7,1,3.84,08/29/19 17:02,"35 Spruce St, Boston, MA 02215"
236761,4,1,149.99,08/19/19 21:43,"148 Chestnut St, San Francisco, CA 94016"
236762,6,1,2.99,08/16/19 14:25,"632 Cherry St, San Francisco, CA 94016"
236763,8,1,150.0,08/06/19 10:23,"288 Lake St, Seattle, WA 98101"
236764,9,1,99.99,08/22/19 15:48,"663 Elm St, Boston, MA 02215"
236765,21,1,11.99,08/24/19 10:48,"731 10th St, San Francisco, CA 94016"
236766,21,1,11.99,08/19/19 17:13,"287 Highland St, Seattle, WA 98101"
236767,12,1,700.0,08/09/19 13:51,"41 Adams St, Dallas, TX 75001"
236768,7,2,3.84,08/27/19 10:21,"352 1st St, Portland, OR 97035"
236769,7,1,3.84,08/25/19 13:18,"270 Cherry St, Dallas, TX 75001"
236770,21,1,11.99,08/13/19 08:46,"796 Park St, San Francisco, CA 94016"
236771,11,1,600.0,08/07/19 18:04,"942 Elm St, Los Angeles, CA 90001"
236772,8,1,150.0,08/18/19 05:31,"61 Park St, Portland, OR 97035"
236773,8,1,150.0,08/20/19 20:16,"742 Forest St, Austin, TX 73301"
