Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
295665,16,1,1700,12/30/19 00:01,"136 Church St, New York City, NY 10001"
295666,14,1,600.0,12/29/19 07:03,"562 2nd St, New York City, NY 10001"
295667,19,1,11.95,12/12/19 18:21,"277 Main St, New York City, NY 10001"
295668,4,1,149.99,12/22/19 15:13,"410 6th St, San Francisco, CA 94016"
295669,19,1,11.95,12/18/19 12:38,"43 Hill St, Atlanta, GA 30301"
295670,7,1,3.84,12/31/19 22:58,"200 Jefferson St, New York City, NY 10001"
295671,19,1,11.95,12/16/19 15:10,"928 12th St, Portland, OR 97035"
295672,19,2,11.95,12/13/19 09:29,"813 Hickory St, Dallas, TX 75001"
295673,9,1,99.99,12/15/19 23:26,"718 Wilson St, Dallas, TX 75001"
295674,6,4,2.99,12/28/19 11:51,"77 7th St, Dallas, TX 75001"
295675,19,2,11.95,12/13/19 13:52,"594 1st St, San Francisco, CA 94016"
295676,18,1,999.99,12/28/19 17:19,"410 Lincoln St, Los Angeles, CA 90001"
295677,7,2,3.84,12/20/19 19:19,"866 Pine St, Boston, MA 02215"
295678,6,2,2.99,12/06/19 09:38,"187 Lincoln St, Dallas, TX 75001"
295679,19,1,11.95,12/25/19 09:39,"902 2nd St, Dallas, TX 75001"
295680,15,1,14.95,12/01/19 14:30,"338 Main St, Austin, TX 73301"
295681,11,1,600,12/25/19 12:37,"79 Elm St, Boston, MA 02215"
295681,19,1,11.95,12/25/19 12:37,"79 Elm St, Boston, MA 02215"
295681,9,1,99.99,12/25/19 12:37,"79 Elm St, Boston, MA 02215"
295681,21,1,11.99,12/25/19 12:37,"79 Elm St, Boston, MA 02215"
295682,19,1,11.95,12/23/19 19:25,"780 Elm St, Portland, OR 97035"
295683,21,1,11.99,12/23/19 22:46,"341 Lake St, San Francisco, CA 94016"
295684,6,4,2.99,12/04/19 12:29,"936 Church St, San Francisco, CA 94016"
295685,21,1,11.99,12/11/19 22:54,"662 Ridge St, San Francisco, CA 94016"
295686,19,1,11.95,12/17/19 16:10,"573 Maple St, Portland, ME 04101"
295687,8,1,150,12/10/19 00:38,"531 Ridge St, Boston, MA 02215"
295688,8,1,150,12/08/19 11:21,"546 Park St, Los Angeles, CA 90001"
295689,14,1,600.0,12/24/19 11:21,"173 Lake St, San Francisco, CA 94016"
295690,8,1,150,12/04/19 00:44,"174 Cedar St, Seattle, WA 98101"
295691,9,1,99.99,12/22/19 18:34,"102 Johnson St, Los Angeles, CA 90001"
295692,7,2,3.84,12/14/19 01:21,"640 Cherry St, Los Angeles, CA 90001"
