Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
150502,12,1,700,02/18/19 01:35,"866 Spruce St, Portland, ME 04101"
150503,7,1,3.84,02/13/19 07:24,"18 13th St, San Francisco, CA 94016"
150504,3,1,389.99,02/18/19 09:46,"52 6th St, New York City, NY 10001"
150505,15,1,14.95,02/02/19 16:47,"129 Cherry St, Atlanta, GA 30301"
150506,7,2,3.84,02/28/19 20:32,"548 Lincoln St, Seattle, WA 98101"
150507,15,1,14.95,02/24/19 18:50,"387 12th St, Austin, TX 73301"
150508,7,1,3.84,02/21/19 19:26,"622 Center St, San Francisco, CA 94016"
150509,8,1,150,02/26/19 19:53,"921 6th St, Seattle, WA 98101"
150510,19,1,11.95,02/17/19 21:48,"451 2nd St, Los Angeles, CA 90001"
150511,19,1,11.95,02/22/19 07:36,"689 River St, San Francisco, CA 94016"
150512,9,1,99.99,02/17/19 18:29,"198 Center St, Los Angeles, CA 90001"
150513,9,1,99.99,02/25/19 20:49,"777 Spruce St, Los Angeles, CA 90001"
150514,4,1,149.99,02/03/19 00:21,"723 Wilson St, Los Angeles, CA 90001"
150515,8,1,150,02/18/19 14:53,"101 13th St, New York City, NY 10001"
150516,15,1,14.95,02/20/19 12:29,"303 Sunset St, Atlanta, GA 30301"
150517,21,1,11.99,02/08/19 12:57,"471 13th St, San Francisco, CA 94016"
150518,16,1,1700,02/26/19 12:38,"847 10th St, San Francisco, CA 94016"
150518,12,1,700,02/26/19 12:38,"847 10th St, San Francisco, CA 94016"
150519,21,1,11.99,02/23/19 13:25,"111 Hill St, Dallas, TX 75001"
150520,7,2,3.84,02/27/19 14:39,"512 Church St, Dallas, TX 75001"
150521,10,1,300,02/27/19 20:07,"588 1st St, Los Angeles, CA 90001"
150522,2,1,109.99,02/12/19 00:00,"633 Cherry St, Boston, MA 02215"
150523,13,1,600.0,02/27/19 20:24,"452 8th St, San Francisco, CA 94016"
150524,21,1,11.99,02/28/19 13:47,"311 8th St, Austin, TX 73301"
150525,2,1,109.99,02/25/19 09:38,"874 Jefferson St, San Francisco, CA 94016"
150526,6,1,2.99,02/15/19 11:31,"85 Park St, Boston, MA 02215"
150527,19,1,11.95,02/07/19 14:33,"165 Jefferson St, Los Angeles, CA 90001"
150528,6,2,2.99,02/26/19 23:17,"426 Lake St, Los Angeles, CA 90001"
150529,7,4,3.84,02/11/19 13:10,"116 Elm St, Seattle, WA 98101"
150530,18,1,999.99,02/05/19 14:19,"752 Park St, Los Angeles, CA 90001"
150531,19,1,11.95,02/28/19 18:16,"457 Maple St, Los Angeles, CA 90001"
150532,19,1,11.95,02/04/19 22:57,"645 Walnut St, San Francisco, CA 94016"
150533,6,1,2.99,03/01/19 03:06,"270 Dogwood St, San Francisco, CA 94016"
150534,6,2,2.99,02/12/19 22:02,"246 9th St, Los Angeles, CA 90001"
150535,6,1,2.99,02/21/19 11:46,"961 2nd St, San Francisco, CA 94016"
150536,21,1,11.99,02/13/19 22:43,"134 8th St, Los Angeles, CA 90001"
150537,21,1,11.99,02/23/19 13:31,"437 12th St, San Francisco, CA 94016"
150538,8,1,150,02/22/19 17:28,"553 12th St, Atlanta, GA 30301"
150539,7,2,3.84,02/18/19 16:46,"103 14th St, San Francisco, CA 94016"
150540,8,1,150,02/18/19 15:23,"218 Ridge St, Atlanta, GA 30301"
150541,6,1,2.99,03/01/19 01:03,"683 Adams St, Portland, OR 97035"
150542,7,1,3.84,02/02/19 19:46,"517 10th St, Austin, TX 73301"
150543,21,1,11.99,02/08/19 09:21,"268 Sunset St, Boston, MA 02215"
150544,15,1,14.95,02/10/19 17:19,"723 Elm St, Los Angeles, CA 90001"
150545,16,1,1700,02/25/19 20:35,"905 Meadow St, Atlanta, GA 30301"
150546,6,1,2.99,02/07/19 14:01,"43 1st St, Atlanta, GA 30301"
150547,6,1,2.99,02/06/19 17:51,"511 Washington St, San Francisco, CA 94016"
150548,16,1,1700,02/18/19 22:56,"750 Forest St, Boston, MA 02215"
150549,12,1,700,02/05/19 20:33,"522 West St, Boston, MA 02215"
150550,18,1,999.99,02/17/19 14:45,"261 Washington St, Los Angeles, CA 90001"
150551,3,1,389.99,02/02/19 08:25,"726 West St, Seattle, WA 98101"
150552,21,1,11.99,02/21/19 19:06,"954 13th St, Boston, MA 02215"
150553,5,1,379.99,02/20/19 21:42,"700 1st St, Dallas, TX 75001"
150554,7,1,3.84,02/12/19 06:49,"33 Johnson St, New York City, NY 10001"
150555,4,1,149.99,02/18/19 11:27,"714 Adams St, Portland, OR 97035"
150556,15,1,14.95,02/10/19 13:25,"419 Hill St, Los Angeles, CA 90001"
150557,7,2,3.84,02/22/19 21:41,"372 5th St, Seattle, WA 98101"
150558,21,1,11.99,02/04/19 16:09,"864 Hickory St, Boston, MA 02215"
150559,8,1,150,02/07/19 23:41,"506 Willow St, Boston, MA 02215"
150560,8,1,150,02/05/19 14:29,"178 14th St, San Francisco, CA 94016"
150561,21,1,11.99,02/22/19 17:55,"888 Jefferson St, New York City, NY 10001"
150562,3,1,389.99,02/16/19 20:07,"663 1st St, Atlanta, GA 30301"
150563,12,1,700,02/20/19 02:09,"631 Pine St, San Francisco, CA 94016"
