Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,12,1,700,01/22/19 21:25,"944 Walnut St, Boston, MA 02215"
141235,15,1,14.95,01/28/19 14:15,"185 Maple St, Portland, OR 97035"
141236,21,2,11.99,01/17/19 13:33,"538 Adams St, San Francisco, CA 94016"
141237,4,1,149.99,01/05/19 20:33,"738 10th St, Los Angeles, CA 90001"
141238,21,1,11.99,01/25/19 11:59,"387 10th St, Austin, TX 73301"
141239,6,1,2.99,01/29/19 20:22,"775 Willow St, San Francisco, CA 94016"
141240,3,1,389.99,01/26/19 12:16,"979 Park St, Los Angeles, CA 90001"
141241,19,1,11.95,01/05/19 12:04,"181 6th St, San Francisco, CA 94016"
141242,9,1,99.99,01/01/19 10:30,"867 Willow St, Los Angeles, CA 90001"
141243,8,1,150,01/22/19 21:20,"657 Johnson St, San Francisco, CA 94016"
141244,8,1,150,01/07/19 11:29,"492 Walnut St, San Francisco, CA 94016"
141245,16,1,1700,01/31/19 10:12,"322 6th St, San Francisco, CA 94016"
141246,6,3,2.99,01/09/19 18:57,"618 7th St, Los Angeles, CA 90001"
141247,4,1,149.99,01/25/19 19:19,"512 Wilson St, San Francisco, CA 94016"
141248,10,1,300,01/03/19 21:54,"363 Spruce St, Austin, TX 73301"
141249,4,1,149.99,01/05/19 17:20,"440 Cedar St, Portland, OR 97035"
141250,20,1,400,01/10/19 11:20,"471 Center St, Los Angeles, CA 90001"
141251,8,1,150,01/24/19 08:13,"414 Walnut St, Boston, MA 02215"
141252,19,1,11.95,01/30/19 09:28,"220 9th St, Los Angeles, CA 90001"
141253,7,1,3.84,01/17/19 00:09,"385 11th St, Atlanta, GA 30301"
141254,6,1,2.99,01/08/19 11:51,"238 Sunset St, Seattle, WA 98101"
141255,19,1,11.95,01/09/19 20:55,"764 11th St, Los Angeles, CA 90001"
141256,11,1,600,01/29/19 10:40,"675 Washington St, Portland, OR 97035"
141257,8,1,150,01/12/19 18:51,"338 Highland St, San Francisco, CA 94016"
141258,7,1,3.84,01/19/19 21:47,"820 1st St, San Francisco, CA 94016"
141259,6,2,2.99,01/20/19 17:26,"920 Adams St, San Francisco, CA 94016"
141260,6,1,2.99,01/01/19 22:00,"293 Hill St, San Francisco, CA 94016"
141261,19,1,11.95,01/09/19 18:14,"840 Lincoln St, Atlanta, GA 30301"
