Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
222910,8,1,150,07/26/19 16:51,"389 South St, Atlanta, GA 30301"
222911,10,1,300,07/05/19 08:55,"590 4th St, Seattle, WA 98101"
222912,7,1,3.84,07/29/19 12:41,"861 Hill St, Atlanta, GA 30301"
222913,7,1,3.84,07/28/19 10:15,"190 Ridge St, Atlanta, GA 30301"
222914,6,5,2.99,07/31/19 02:13,"824 Forest St, Seattle, WA 98101"
222915,9,1,99.99,07/03/19 18:30,"899 Elm St, San Francisco, CA 94016"
222916,11,1,600,07/21/19 22:39,"745 Chestnut St, New York City, NY 10001"
222917,13,1,600.0,07/17/19 13:44,"490 Adams St, New York City, NY 10001"
222918,19,1,11.95,07/14/19 21:16,"207 1st St, Los Angeles, CA 90001"
222919,15,1,14.95,07/14/19 13:24,"29 Jefferson St, Dallas, TX 75001"
222920,7,1,3.84,07/30/19 04:42,"590 6th St, San Francisco, CA 94016"
222921,15,1,14.95,07/02/19 11:04,"960 Willow St, San Francisco, CA 94016"
222922,5,1,379.99,07/20/19 21:12,"616 Chestnut St, Dallas, TX 75001"
222923,6,1,2.99,07/05/19 12:16,"105 Johnson St, Los Angeles, CA 90001"
222924,9,1,99.99,07/13/19 20:46,"444 Spruce St, San Francisco, CA 94016"
222925,8,1,150,07/09/19 02:59,"764 Adams St, San Francisco, CA 94016"
222926,15,2,14.95,07/15/19 17:44,"577 Lakeview St, Los Angeles, CA 90001"
222927,21,1,11.99,07/31/19 20:34,"244 Washington St, Los Angeles, CA 90001"
222928,11,1,600,07/15/19 17:18,"524 Cherry St, San Francisco, CA 94016"
222929,20,1,400,07/04/19 19:46,"882 Hickory St, Boston, MA 02215"
222930,15,1,14.95,07/20/19 20:57,"826 River St, San Francisco, CA 94016"
222931,19,1,11.95,07/18/19 09:21,"145 Pine St, Boston, MA 02215"
222932,21,1,11.99,07/24/19 17:32,"386 Cedar St, Los Angeles, CA 90001"
222933,13,1,600.0,07/30/19 13:20,"76 2nd St, Los Angeles, CA 90001"
222934,7,2,3.84,07/03/19 23:51,"437 River St, Seattle, WA 98101"
222935,6,1,2.99,07/23/19 12:20,"118 9th St, San Francisco, CA 94016"
222936,4,1,149.99,07/04/19 12:29,"483 West St, Boston, MA 02215"
222937,15,2,14.95,07/03/19 09:01,"538 North St, San Francisco, CA 94016"
222938,10,1,300,07/20/19 17:49,"523 Hickory St, Dallas, TX 75001"
222939,8,1,150,07/17/19 21:53,"597 Madison St, Los Angeles, CA 90001"
222940,21,2,11.99,07/05/19 15:06,"779 Maple St, San Francisco, CA 94016"
222941,8,1,150,07/02/19 05:48,"631 Willow St, San Francisco, CA 94016"
222942,15,1,14.95,07/07/19 10:00,"424 Church St, Portland, OR 97035"
222943,15,1,14.95,07/20/19 23:39,"575 4th St, Seattle, WA 98101"
222944,4,1,149.99,07/07/19 22:52,"70 Meadow St, San Francisco, CA 94016"
222945,21,1,11.99,07/21/19 21:51,"191 Dogwood St, Los Angeles, CA 90001"
222946,2,1,109.99,07/14/19 22:19,"49 Park St, New York City, NY 10001"
222947,18,1,999.99,07/16/19 09:15,"612 Spruce St, New York City, NY 10001"
222948,19,1,11.95,07/10/19 08:18,"631 12th St, San Francisco, CA 94016"
222949,19,1,11.95,07/28/19 17:24,"902 Cedar St, Dallas, TX 75001"
222950,15,1,14.95,07/17/19 19:05,"358 1st St, Dallas, TX 75001"
222951,8,1,150,07/08/19 12:34,"781 Maple St, San Francisco, CA 94016"
222952,15,1,14.95,07/06/19 16:01,"879 Park St, San Francisco, CA 94016"
222953,15,1,14.95,07/31/19 02:56,"109 Highland St, Los Angeles, CA 90001"
222954,7,2,3.84,07/14/19 18:11,"980 Chestnut St, Dallas, TX 75001"
222955,19,1,11.95,07/01/19 14:27,"117 Lake St, Los Angeles, CA 90001"
222956,3,1,389.99,07/11/19 20:18,"525 6th St, Atlanta, GA 30301"
222957,6,1,2.99,07/19/19 10:11,"143 5th St, Portland, OR 97035"
222958,6,1,2.99,07/26/19 21:00,"777 5th St, Dallas, TX 75001"
222959,18,1,999.99,07/15/19 13:07,"252 River St, Dallas, TX 75001"
222960,15,1,14.95,07/11/19 08:44,"638 Dogwood St, San Francisco, CA 94016"
222961,15,1,14.95,07/04/19 05:44,"840 5th St, Dallas, TX 75001"
222962,21,1,11.99,07/20/19 09:20,"694 Cherry St, Seattle, WA 98101"
222963,19,1,11.95,07/29/19 09:11,"734 Elm St, Boston, MA 02215"
222964,16,1,1700,07/24/19 20:18,"601 Lake St, Boston, MA 02215"
222965,6,2,2.99,07/07/19 12:06,"792 Cedar St, San Francisco, CA 94016"
222966,7,2,3.84,07/13/19 01:01,"718 7th St, Seattle, WA 98101"
222967,2,1,109.99,07/14/19 11:58,"161 13th St, San Francisco, CA 94016"
222968,7,1,3.84,07/24/19 15:32,"536 14th St, San Francisco, CA 94016"
222969,6,1,2.99,07/05/19 17:00,"248 Johnson St, San Francisco, CA 94016"
222970,6,1,2.99,07/09/19 11:08,"594 Church St, Atlanta, GA 30301"
222971,8,1,150,07/05/19 14:49,"444 Spruce St, Austin, TX 73301"
222972,21,1,11.99,07/09/19 09:17,"917 Madison St, Seattle, WA 98101"
222973,10,1,300,07/18/19 14:40,"509 Hickory St, Seattle, WA 98101"
222974,15,1,14.95,07/09/19 19:51,"112 Wilson St, Los Angeles, CA 90001"
222975,21,1,11.99,07/19/19 16:15,"541 Hickory St, Los Angeles, CA 90001"
222976,15,1,14.95,07/17/19 10:14,"390 1st St, Los Angeles, CA 90001"
222977,15,1,14.95,07/14/19 22:07,"660 Walnut St, Los Angeles, CA 90001"
222978,6,2,2.99,07/04/19 12:23,"941 Willow St, Seattle, WA 98101"
222979,9,1,99.99,07/11/19 23:59,"844 Center St, Seattle, WA 98101"
222980,9,1,99.99,07/13/19 11:16,"519 Park St, Atlanta, GA 30301"
222981,19,1,11.95,07/26/19 00:40,"791 9th St, Austin, TX 73301"
222982,10,1,300,07/28/19 12:40,"651 Ridge St, Portland, OR 97035"
222983,15,1,14.95,07/16/19 00:06,"639 Spruce St, Boston, MA 02215"
222984,19,1,11.95,07/29/19 21:50,"305 Johnson St, Austin, TX 73301"
222985,9,1,99.99,07/21/19 12:41,"846 Lake St, Dallas, TX 75001"
222986,15,1,14.95,07/05/19 11:13,"313 Forest St, San Francisco, CA 94016"
222987,6,1,2.99,07/31/19 16:56,"538 1st St, New York City, NY 10001"
222988,15,1,14.95,07/04/19 09:44,"647 Meadow St, Dallas, TX 75001"
222989,15,1,14.95,07/07/19 20:53,"48 Walnut St, Dallas, TX 75001"
222990,6,2,2.99,07/19/19 18:33,"419 Jackson St, New York City, NY 10001"
222991,4,1,149.99,07/05/19 10:06,"450 8th St, Los Angeles, CA 90001"
222992,7,1,3.84,07/05/19 18:49,"779 Washington St, San Francisco, CA 94016"
222993,6,1,2.99,07/25/19 21:40,"697 Adams St, Los Angeles, CA 90001"
222994,19,1,11.95,07/10/19 18:59,"251 Cedar St, New York City, NY 10001"
222995,5,1,379.99,07/27/19 16:15,"837 Park St, San Francisco, CA 94016"
222996,4,1,149.99,07/12/19 16:53,"885 Sunset St, Los Angeles, CA 90001"
222997,6,1,2.99,07/21/19 16:44,"619 Willow St, New York City, NY 10001"
222998,15,1,14.95,07/28/19 03:41,"38 Lakeview St, Boston, MA 02215"
222999,10,1,300,07/29/19 17:17,"615 Cherry St, Seattle, WA 98101"
223000,6,1,2.99,07/19/19 20:29,"670 10th St, Atlanta, GA 30301"
223001,8,1,150,07/29/19 11:56,"978 10th St, San Francisco, CA 94016"
223002,7,1,3.84,07/13/19 18:48,"603 12th St, Dallas, TX 75001"
223003,15,1,14.95,07/09/19 17:51,"18 Jefferson St, San Francisco, CA 94016"
