Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
162009,12,1,700,03/28/19 20:59,"942 Church St, Austin, TX 73301"
162009,15,1,14.95,03/28/19 20:59,"942 Church St, Austin, TX 73301"
162009,21,2,11.99,03/28/19 20:59,"942 Church St, Austin, TX 73301"
162010,9,1,99.99,03/17/19 05:39,"261 10th St, San Francisco, CA 94016"
162011,5,1,379.99,03/10/19 00:01,"764 13th St, San Francisco, CA 94016"
162012,7,1,3.84,03/20/19 21:33,"187 Ridge St, San Francisco, CA 94016"
162013,5,1,379.99,03/15/19 23:05,"904 Main St, Austin, TX 73301"
162014,19,1,11.95,03/01/19 21:33,"10 13th St, San Francisco, CA 94016"
162015,7,1,3.84,03/02/19 08:52,"949 Jefferson St, Boston, MA 02215"
162016,6,5,2.99,03/19/19 21:10,"469 Highland St, Atlanta, GA 30301"
162017,15,1,14.95,03/02/19 13:55,"449 River St, San Francisco, CA 94016"
162018,19,2,11.95,03/18/19 11:07,"925 Maple St, Portland, OR 97035"
162019,6,1,2.99,03/05/19 12:20,"639 4th St, Atlanta, GA 30301"
162020,14,1,600.0,03/26/19 18:17,"616 Jackson St, Dallas, TX 75001"
162021,21,1,11.99,03/30/19 12:02,"645 Wilson St, Los Angeles, CA 90001"
162022,7,1,3.84,03/17/19 22:18,"473 Hill St, New York City, NY 10001"
162023,8,1,150,03/11/19 20:00,"404 Park St, San Francisco, CA 94016"
162024,3,1,389.99,03/17/19 09:22,"952 Willow St, Atlanta, GA 30301"
162025,6,1,2.99,03/07/19 20:50,"110 7th St, Boston, MA 02215"
162026,12,1,700,03/22/19 22:31,"71 Pine St, Austin, TX 73301"
162027,6,1,2.99,03/16/19 20:52,"421 Main St, Los Angeles, CA 90001"
162028,6,3,2.99,03/20/19 15:23,"739 1st St, San Francisco, CA 94016"
162029,6,1,2.99,03/26/19 12:17,"141 North St, Atlanta, GA 30301"
162030,11,1,600,03/09/19 16:50,"463 4th St, San Francisco, CA 94016"
162031,15,1,14.95,03/28/19 17:03,"131 Johnson St, Boston, MA 02215"
162032,15,1,14.95,03/31/19 10:39,"498 4th St, Los Angeles, CA 90001"
162033,12,1,700,03/19/19 11:06,"267 Johnson St, Dallas, TX 75001"
162034,19,1,11.95,03/26/19 20:34,"104 Center St, Seattle, WA 98101"
162035,16,1,1700,03/08/19 13:07,"44 4th St, Los Angeles, CA 90001"
162036,15,1,14.95,03/09/19 19:39,"905 Spruce St, San Francisco, CA 94016"
162037,12,1,700,03/23/19 02:11,"277 Elm St, Los Angeles, CA 90001"
162037,15,1,14.95,03/23/19 02:11,"277 Elm St, Los Angeles, CA 90001"
162038,6,2,2.99,03/18/19 20:31,"53 10th St, Atlanta, GA 30301"
162039,7,1,3.84,03/29/19 12:01,"175 West St, San Francisco, CA 94016"
162040,19,1,11.95,03/25/19 09:11,"973 North St, Austin, TX 73301"
162041,8,1,150,03/14/19 01:01,"633 13th St, Austin, TX 73301"
162042,19,1,11.95,03/09/19 22:39,"661 7th St, San Francisco, CA 94016"
162043,7,1,3.84,03/29/19 10:59,"883 Walnut St, Atlanta, GA 30301"
162044,4,1,149.99,03/22/19 10:11,"469 9th St, Dallas, TX 75001"
162045,8,1,150,03/26/19 13:31,"906 Park St, New York City, NY 10001"
162046,6,2,2.99,03/20/19 20:33,"661 1st St, San Francisco, CA 94016"
162047,9,1,99.99,03/08/19 18:41,"819 9th St, Austin, TX 73301"
162048,7,1,3.84,03/31/19 19:24,"819 Main St, New York City, NY 10001"
162049,15,1,14.95,03/25/19 13:35,"307 Chestnut St, Austin, TX 73301"
162050,6,1,2.99,03/26/19 17:09,"870 Spruce St, Boston, MA 02215"
162051,6,1,2.99,03/12/19 09:12,"565 South St, Boston, MA 02215"
162052,21,1,11.99,03/11/19 09:44,"971 Washington St, Los Angeles, CA 90001"
162053,12,1,700,03/10/19 18:29,"660 7th St, Seattle, WA 98101"
162054,21,1,11.99,03/20/19 00:42,"358 5th St, San Francisco, CA 94016"
162055,7,1,3.84,03/29/19 09:21,"675 8th St, Los Angeles, CA 90001"
162056,21,1,11.99,03/17/19 10:24,"55 Adams St, San Francisco, CA 94016"
162057,21,1,11.99,03/30/19 18:44,"485 Maple St, Los Angeles, CA 90001"
162058,4,1,149.99,03/30/19 02:30,"510 Church St, New York City, NY 10001"
162059,19,1,11.95,03/03/19 05:47,"602 Willow St, Seattle, WA 98101"
162060,6,3,2.99,03/10/19 16:04,"703 Lake St, Seattle, WA 98101"
162061,21,1,11.99,03/01/19 22:07,"967 10th St, New York City, NY 10001"
162062,6,1,2.99,03/24/19 03:37,"235 Park St, Portland, OR 97035"
162063,6,2,2.99,03/02/19 11:58,"693 12th St, Austin, TX 73301"
162064,16,1,1700,03/05/19 09:00,"414 Willow St, San Francisco, CA 94016"
162065,11,1,600,03/02/19 13:18,"862 Spruce St, San Francisco, CA 94016"
162066,7,1,3.84,03/13/19 13:57,"602 Pine St, New York City, NY 10001"
162066,19,2,11.95,03/13/19 13:57,"602 Pine St, New York City, NY 10001"
162067,18,1,999.99,03/07/19 23:40,"4 Cedar St, San Francisco, CA 94016"
162068,21,1,11.99,03/24/19 12:25,"117 1st St, Austin, TX 73301"
162069,7,1,3.84,03/15/19 16:53,"853 Park St, Boston, MA 02215"
162070,4,1,149.99,03/15/19 18:19,"859 South St, Los Angeles, CA 90001"
162071,20,1,400,03/30/19 20:23,"334 Jackson St, Atlanta, GA 30301"
162071,19,1,11.95,03/30/19 20:23,"334 Jackson St, Atlanta, GA 30301"
162072,7,1,3.84,03/02/19 12:04,"945 Adams St, New York City, NY 10001"
162073,9,1,99.99,03/23/19 20:52,"573 Lakeview St, San Francisco, CA 94016"
162074,8,1,150,03/05/19 12:45,"928 Dogwood St, San Francisco, CA 94016"
162075,8,1,150,03/11/19 09:19,"456 7th St, New York City, NY 10001"
162076,21,1,11.99,03/04/19 09:12,"424 Wilson St, Dallas, TX 75001"
162077,6,1,2.99,03/22/19 11:54,"783 Johnson St, New York City, NY 10001"
162078,15,1,14.95,03/02/19 16:48,"167 North St, San Francisco, CA 94016"
162079,11,1,600,03/24/19 21:36,"144 West St, Los Angeles, CA 90001"
162080,8,1,150,03/24/19 09:37,"245 Chestnut St, Boston, MA 02215"
162081,15,1,14.95,03/26/19 20:58,"183 Dogwood St, Los Angeles, CA 90001"
162082,20,1,400,03/09/19 14:15,"401 Wilson St, New York City, NY 10001"
162082,21,1,11.99,03/09/19 14:15,"401 Wilson St, New York City, NY 10001"
162083,21,1,11.99,03/27/19 19:04,"162 Lakeview St, Atlanta, GA 30301"
162084,12,1,700,03/27/19 12:53,"585 14th St, Los Angeles, CA 90001"
162085,15,1,14.95,03/24/19 19:52,"705 Highland St, San Francisco, CA 94016"
162086,11,1,600,03/18/19 09:12,"410 Chestnut St, New York City, NY 10001"
162087,11,1,600,03/18/19 13:58,"303 Chestnut St, Boston, MA 02215"
162087,19,1,11.95,03/18/19 13:58,"303 Chestnut St, Boston, MA 02215"
162088,11,1,600,03/02/19 15:50,"231 Jackson St, Los Angeles, CA 90001"
162089,21,1,11.99,03/07/19 12:25,"692 13th St, New York City, NY 10001"
162090,9,1,99.99,03/12/19 13:03,"747 Wilson St, Austin, TX 73301"
162091,9,1,99.99,03/18/19 08:13,"926 Main St, Boston, MA 02215"
162092,10,1,300,03/18/19 11:29,"477 11th St, Seattle, WA 98101"
162092,6,1,2.99,03/18/19 11:29,"477 11th St, Seattle, WA 98101"
162093,20,1,400,03/19/19 11:32,"855 Lakeview St, Boston, MA 02215"
162094,18,1,999.99,03/21/19 03:42,"959 River St, Atlanta, GA 30301"
162095,21,1,11.99,03/29/19 13:18,"628 Lakeview St, Seattle, WA 98101"
162096,9,1,99.99,03/04/19 00:20,"323 Hill St, New York City, NY 10001"
