Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
278797,21,1,11.99,11/21/19 09:54,"46 Park St, New York City, NY 10001"
278798,19,2,11.95,11/17/19 10:03,"962 Hickory St, Austin, TX 73301"
278799,8,1,150.0,11/19/19 14:56,"464 Cherry St, Los Angeles, CA 90001"
278800,4,1,149.99,11/25/19 22:24,"649 10th St, Seattle, WA 98101"
278801,9,1,99.99,11/09/19 13:56,"522 Hill St, Boston, MA 02215"
278802,19,1,11.95,11/14/19 20:34,"154 2nd St, San Francisco, CA 94016"
278803,15,1,14.95,11/11/19 08:05,"724 5th St, San Francisco, CA 94016"
278804,9,1,99.99,11/15/19 11:48,"866 Sunset St, Austin, TX 73301"
278805,15,1,14.95,11/27/19 11:50,"670 Elm St, San Francisco, CA 94016"
278806,9,1,99.99,11/19/19 19:12,"174 2nd St, Boston, MA 02215"
278806,18,1,999.99,11/19/19 19:12,"174 2nd St, Boston, MA 02215"
278807,18,1,999.99,11/25/19 21:52,"240 Elm St, Austin, TX 73301"
278808,6,1,2.99,11/23/19 13:19,"155 Highland St, Boston, MA 02215"
278809,7,1,3.84,11/17/19 12:38,"969 13th St, Dallas, TX 75001"
278810,19,1,11.95,11/03/19 16:55,"454 Cherry St, Boston, MA 02215"
278811,21,1,11.99,11/06/19 16:01,"99 Elm St, San Francisco, CA 94016"
278811,8,1,150.0,11/06/19 16:01,"99 Elm St, San Francisco, CA 94016"
278812,8,1,150.0,11/17/19 20:08,"601 Church St, Seattle, WA 98101"
278813,16,1,1700.0,11/09/19 22:40,"131 6th St, Boston, MA 02215"
278814,7,3,3.84,11/16/19 16:45,"419 Hill St, Boston, MA 02215"
278815,15,1,14.95,11/18/19 13:06,"815 Dogwood St, New York City, NY 10001"
278816,15,1,14.95,11/08/19 08:58,"925 5th St, New York City, NY 10001"
278817,19,1,11.95,11/05/19 23:25,"503 Chestnut St, Boston, MA 02215"
278818,19,1,11.95,11/16/19 22:12,"541 Johnson St, New York City, NY 10001"
278819,12,1,700.0,11/04/19 06:20,"880 Maple St, New York City, NY 10001"
278819,8,1,150.0,11/04/19 06:20,"880 Maple St, New York City, NY 10001"
278820,19,2,11.95,11/17/19 15:11,"882 Walnut St, Portland, OR 97035"
278821,19,1,11.95,11/25/19 16:17,"327 13th St, Dallas, TX 75001"
278822,9,1,99.99,11/20/19 08:17,"816 Park St, Atlanta, GA 30301"
278823,7,1,3.84,11/29/19 20:42,"234 9th St, Boston, MA 02215"
278824,4,1,149.99,11/08/19 11:05,"677 Johnson St, Portland, OR 97035"
278825,9,1,99.99,11/02/19 00:35,"928 Wilson St, San Francisco, CA 94016"
278826,2,1,109.99,11/26/19 15:58,"532 Cedar St, Austin, TX 73301"
278827,8,1,150.0,11/01/19 13:06,"305 Highland St, San Francisco, CA 94016"
278828,5,1,379.99,11/12/19 20:24,"470 13th St, San Francisco, CA 94016"
