Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
259358,5,1,379.99,10/28/19 10:56,"609 Cherry St, Dallas, TX 75001"
259359,3,1,389.99,10/28/19 17:26,"225 5th St, Los Angeles, CA 90001"
259360,6,2,2.99,10/24/19 17:20,"967 12th St, New York City, NY 10001"
259361,4,1,149.99,10/14/19 22:26,"628 Jefferson St, New York City, NY 10001"
259362,21,1,11.99,10/07/19 16:10,"534 14th St, Los Angeles, CA 90001"
259363,6,1,2.99,10/01/19 18:55,"976 Lake St, New York City, NY 10001"
259364,21,1,11.99,10/29/19 11:02,"874 North St, Los Angeles, CA 90001"
259365,15,1,14.95,10/29/19 11:19,"127 12th St, Los Angeles, CA 90001"
259366,8,1,150.0,10/20/19 11:52,"955 9th St, Los Angeles, CA 90001"
259367,8,1,150.0,10/16/19 16:19,"742 14th St, San Francisco, CA 94016"
259368,4,1,149.99,10/13/19 13:47,"960 Ridge St, Boston, MA 02215"
259369,19,1,11.95,10/26/19 10:54,"538 Johnson St, Portland, OR 97035"
259370,2,1,109.99,10/28/19 23:56,"528 Forest St, San Francisco, CA 94016"
259371,12,1,700.0,10/26/19 12:12,"306 Main St, Los Angeles, CA 90001"
259372,21,1,11.99,10/17/19 11:07,"434 Madison St, San Francisco, CA 94016"
259373,4,1,149.99,10/31/19 20:15,"924 Church St, San Francisco, CA 94016"
259374,8,1,150.0,10/17/19 22:14,"784 6th St, Los Angeles, CA 90001"
259375,19,1,11.95,10/10/19 08:53,"557 Forest St, San Francisco, CA 94016"
259376,4,1,149.99,10/12/19 00:03,"218 14th St, San Francisco, CA 94016"
259377,9,1,99.99,10/23/19 16:49,"88 Main St, Boston, MA 02215"
259378,15,1,14.95,10/18/19 16:45,"997 1st St, Boston, MA 02215"
259379,3,1,389.99,10/09/19 13:15,"148 Lincoln St, San Francisco, CA 94016"
259380,8,1,150.0,10/19/19 12:21,"424 North St, San Francisco, CA 94016"
259381,18,1,999.99,10/25/19 08:44,"887 12th St, New York City, NY 10001"
259382,21,1,11.99,10/18/19 14:16,"605 Ridge St, New York City, NY 10001"
259383,8,1,150.0,10/13/19 12:32,"597 6th St, Los Angeles, CA 90001"
259384,18,1,999.99,10/29/19 23:22,"383 Cedar St, Dallas, TX 75001"
259385,15,1,14.95,10/28/19 15:28,"892 1st St, Los Angeles, CA 90001"
259386,15,1,14.95,10/16/19 21:39,"966 Hickory St, Los Angeles, CA 90001"
259387,9,1,99.99,10/01/19 13:58,"695 6th St, New York City, NY 10001"
259388,7,1,3.84,10/12/19 13:15,"948 Forest St, San Francisco, CA 94016"
259389,6,1,2.99,10/17/19 14:14,"661 Maple St, Dallas, TX 75001"
259390,15,1,14.95,10/08/19 12:35,"134 Cherry St, Atlanta, GA 30301"
259391,11,1,600.0,10/24/19 12:51,"374 Hill St, Dallas, TX 75001"
259392,21,1,11.99,10/19/19 15:26,"374 Forest St, Los Angeles, CA 90001"
259393,7,1,3.84,10/22/19 20:35,"2 13th St, New York City, NY 10001"
259394,7,1,3.84,10/24/19 18:58,"909 Lake St, Atlanta, GA 30301"
259395,9,1,99.99,10/13/19 13:55,"235 Adams St, Atlanta, GA 30301"
259396,6,1,2.99,10/23/19 22:40,"218 Spruce St, Austin, TX 73301"
259397,21,1,11.99,10/01/19 14:39,"901 Walnut St, Atlanta, GA 30301"
259398,9,1,99.99,10/22/19 10:20,"367 Pine St, Seattle, WA 98101"
259399,6,2,2.99,10/31/19 19:06,"263 Willow St, San Francisco, CA 94016"
259400,3,1,389.99,10/19/19 09:24,"628 Forest St, Los Angeles, CA 90001"
259401,21,1,11.99,10/15/19 23:39,"291 Lincoln St, Los Angeles, CA 90001"
259402,7,3,3.84,10/09/19 20:27,"11 Lakeview St, Seattle, WA 98101"
259403,19,1,11.95,10/25/19 19:42,"255 Cedar St, New York City, NY 10001"
259404,9,1,99.99,10/07/19 19:48,"883 5th St, Boston, MA 02215"
259405,9,1,99.99,10/07/19 19:19,"698 Center St, Dallas, TX 75001"
259406,7,1,3.84,10/12/19 12:01,"665 Elm St, Atlanta, GA 30301"
259407,15,1,14.95,10/30/19 12:09,"189 Chestnut St, San Francisco, CA 94016"
259408,5,1,379.99,10/21/19 20:09,"36 Pine St, Los Angeles, CA 90001"
259409,4,1,149.99,10/03/19 16:26,"854 Main St, Austin, TX 73301"
259410,7,2,3.84,10/01/19 21:32,"110 Hill St, San Francisco, CA 94016"
259411,7,1,3.84,10/09/19 14:47,"39 West St, San Francisco, CA 94016"
259412,8,1,150.0,10/24/19 18:05,"276 North St, Los Angeles, CA 90001"
259413,9,1,99.99,10/30/19 09:54,"387 West St, Boston, MA 02215"
259414,8,1,150.0,10/08/19 21:01,"29 Washington St, San Francisco, CA 94016"
259415,6,2,2.99,10/16/19 19:13,"280 8th St, Portland, OR 97035"
259416,20,1,400.0,10/10/19 19:10,"680 South St, Dallas, TX 75001"
259417,21,1,11.99,10/08/19 16:27,"908 Washington St, Seattle, WA 98101"
259418,12,1,700.0,10/25/19 12:06,"253 8th St, Austin, TX 73301"
259419,19,1,11.95,10/28/19 08:13,"820 South St, Los Angeles, CA 90001"
259420,11,1,600.0,10/18/19 08:54,"791 Forest St, Los Angeles, CA 90001"
259420,19,2,11.95,10/18/19 08:54,"791 Forest St, Los Angeles, CA 90001"
259421,21,1,11.99,10/19/19 16:52,"240 Chestnut St, San Francisco, CA 94016"
259422,11,1,600.0,10/05/19 04:53,"849 Ridge St, San Francisco, CA 94016"
259422,19,1,11.95,10/05/19 04:53,"849 Ridge St, San Francisco, CA 94016"
259423,7,1,3.84,10/14/19 15:37,"32 12th St, New York City, NY 10001"
259424,19,2,11.95,10/31/19 22:54,"64 Lake St, Atlanta, GA 30301"
259425,15,1,14.95,10/18/19 11:36,"81 Spruce St, Austin, TX 73301"
259426,3,1,389.99,10/17/19 10:43,"595 6th St, Dallas, TX 75001"
259427,12,1,700.0,10/06/19 21:23,"528 13th St, New York City, NY 10001"
259428,7,1,3.84,10/07/19 22:09,"891 14th St, Los Angeles, CA 90001"
259429,15,1,14.95,10/21/19 19:52,"632 Willow St, San Francisco, CA 94016"
259430,19,1,11.95,10/02/19 23:59,"212 Hill St, San Francisco, CA 94016"
259431,4,1,149.99,10/23/19 13:13,"962 South St, Boston, MA 02215"
259432,12,1,700.0,10/20/19 15:55,"47 4th St, Boston, MA 02215"
259433,9,1,99.99,10/11/19 09:01,"114 Park St, Boston, MA 02215"
