Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
248151,7,4,3.84,09/17/19 14:44,"380 North St, Los Angeles, CA 90001"
248152,19,2,11.95,09/29/19 10:19,"511 8th St, Austin, TX 73301"
248153,19,1,11.95,09/16/19 17:48,"151 Johnson St, Los Angeles, CA 90001"
248154,4,1,149.99,09/27/19 07:52,"355 Hickory St, Seattle, WA 98101"
248155,19,1,11.95,09/01/19 19:03,"125 5th St, Atlanta, GA 30301"
248156,5,1,379.99,09/13/19 14:59,"469 12th St, Los Angeles, CA 90001"
248157,15,1,14.95,09/07/19 09:59,"773 Johnson St, Portland, ME 04101"
248158,15,1,14.95,09/02/19 14:16,"682 Sunset St, Los Angeles, CA 90001"
248159,20,1,400.0,09/06/19 16:45,"664 Wilson St, New York City, NY 10001"
248160,21,1,11.99,09/01/19 22:03,"446 9th St, San Francisco, CA 94016"
248161,19,1,11.95,09/24/19 16:26,"439 Spruce St, San Francisco, CA 94016"
248162,6,3,2.99,09/14/19 12:52,"439 Walnut St, Seattle, WA 98101"
248163,19,1,11.95,09/25/19 12:32,"41 North St, Portland, OR 97035"
248164,4,1,149.99,09/12/19 15:57,"88 9th St, San Francisco, CA 94016"
248165,15,1,14.95,09/15/19 12:42,"585 Adams St, Atlanta, GA 30301"
248166,8,1,150.0,09/04/19 14:59,"21 9th St, Boston, MA 02215"
248167,11,1,600.0,09/02/19 18:52,"711 Forest St, San Francisco, CA 94016"
248168,19,1,11.95,09/30/19 18:59,"219 Hickory St, San Francisco, CA 94016"
248169,2,1,109.99,09/24/19 19:40,"140 Ridge St, San Francisco, CA 94016"
248170,6,1,2.99,09/04/19 02:01,"857 Main St, Boston, MA 02215"
248171,19,1,11.95,09/05/19 15:06,"705 Hill St, New York City, NY 10001"
248171,19,1,11.95,09/05/19 15:06,"705 Hill St, New York City, NY 10001"
248172,21,1,11.99,09/13/19 16:49,"820 Hill St, Boston, MA 02215"
248173,8,1,150.0,09/14/19 20:47,"789 Lake St, Atlanta, GA 30301"
248174,9,1,99.99,09/17/19 22:57,"385 Washington St, Dallas, TX 75001"
248175,12,1,700.0,09/08/19 13:58,"736 4th St, Austin, TX 73301"
